file;varname;fmt;start;end;width;decimals
hogar;ANOENC;i;1;4;4;
hogar;NUMERO;i;5;9;5;
hogar;CCAA;c;10;11;2;
hogar;NUTS1;c;12;12;1;
hogar;CAPROV;c;13;13;1;
hogar;TAMAMU;c;14;14;1;
hogar;DENSIDAD;c;15;15;1;
hogar;CLAVE;c;16;16;1;
hogar;CLATEO;c;17;17;1;
hogar;FACTOR;d;18;28;11;6
hogar;NMIEMB;i;29;30;2;
hogar;TAMANO;c;31;31;1;
hogar;NMIEMSD;i;32;33;2;
hogar;NMIEMHU;i;34;35;2;
hogar;NMIEMIN;i;36;37;2;
hogar;NMIEM1;i;38;39;2;
hogar;NMIEM2;i;40;41;2;
hogar;NMIEM3;i;42;43;2;
hogar;NMIEM4;i;44;45;2;
hogar;NMIEM5;i;46;47;2;
hogar;NMIEM6;i;48;49;2;
hogar;NMIEM7;i;50;51;2;
hogar;NMIEM8;i;52;53;2;
hogar;NMIEM9;i;54;55;2;
hogar;NMIEM10;i;56;57;2;
hogar;NMIEM11;i;58;59;2;
hogar;NMIEM12;i;60;61;2;
hogar;NMIEM13;i;62;63;2;
hogar;NUMACTI;i;64;65;2;
hogar;NUMICTI;i;66;67;2;
hogar;NUMOCUP;i;68;69;2;
hogar;NUMNOCUP;i;70;71;2;
hogar;NUMESTU;i;72;73;2;
hogar;NUMNOESTU;i;74;75;2;
hogar;NNINOSD;i;76;77;2;
hogar;NHIJOSD;i;78;79;2;
hogar;UC1;d;80;82;3;1
hogar;UC2;d;83;85;3;1
hogar;PF2TEO;i;86;87;2;
hogar;PF2RECO;i;88;89;2;
hogar;TIPHOGAR1;c;90;91;2;
hogar;TIPHOGAR2;c;92;93;2;
hogar;TIPHOGAR3;c;94;95;2;
hogar;TIPHOGAR4;c;96;97;2;
hogar;TIPHOGAR5;c;98;99;2;
hogar;TIPHOGAR6;c;100;101;2;
hogar;TIPHOGAR7;c;102;103;2;
hogar;TIPHOGAR8;c;104;105;2;
hogar;TIPHOGAR9;c;106;107;2;
hogar;TIPHOGAR10;c;108;109;2;
hogar;TIPHOGAR11;c;110;111;2;
hogar;SITUOCUHOG;c;112;113;2;
hogar;SITUACTHOG;c;114;115;2;
hogar;NORDENSP;c;116;117;2;
hogar;EDADSP;i;118;119;2;
hogar;SEXOSP;c;120;121;2;
hogar;PAISCSP;c;122;123;2;
hogar;CIOSP;c;124;125;2;
hogar;PAISSP;c;126;127;2;
hogar;SITURESSP;c;128;129;2;
hogar;ECIVILSP;c;130;131;2;
hogar;NORDENCOSP;c;132;133;2;
hogar;UNIONSP;c;134;135;2;
hogar;CONVIVENCIASP;c;136;137;2;
hogar;NORDENPASP;c;138;139;2;
hogar;PAISPADRESP;c;140;141;2;
hogar;NORDENMASP;c;142;143;2;
hogar;PAISMADRESP;c;144;145;2;
hogar;ESTUDIOSSP;c;146;147;2;
hogar;ESTUDREDSP;c;148;149;2;
hogar;SITUACTSP;c;150;151;2;
hogar;SITUREDSP;c;152;153;2;
hogar;OCUSP;c;154;155;2;
hogar;JORDASP;c;156;157;2;
hogar;PERCEPSP;c;158;159;2;
hogar;IMPEXACPSP;i;160;164;5;
hogar;INTERINPSP;c;165;166;2;
hogar;TRABAJO;c;167;168;2;
hogar;OCUPA;c;169;170;2;
hogar;OCUPARED;c;171;172;2;
hogar;ACTESTB;c;173;174;2;
hogar;ACTESTBRED;c;175;176;2;
hogar;SITPROF;c;177;178;2;
hogar;SECTOR;c;179;180;2;
hogar;CONTRATO;c;181;182;2;
hogar;TIPOCONT;c;183;184;2;
hogar;SITSOCI;c;185;186;2;
hogar;SITSOCIRE;c;187;188;2;
hogar;REGTEN;c;189;189;1;
hogar;TIPOEDIF;c;190;191;2;
hogar;ZORES;c;192;193;2;
hogar;TIPOCASA;c;194;195;2;
hogar;NHABIT;i;196;197;2;
hogar;ANNOCON;c;198;199;2;
hogar;SUPERF;i;200;202;3;
hogar;AGUACALI;c;203;204;2;
hogar;FUEGUA;c;205;206;2;
hogar;CALEF;c;207;208;2;
hogar;FUENCALE;c;209;210;2;
hogar;DISPOSIOV;c;211;211;1;
hogar;NUMOVD;i;212;212;1;
hogar;REGTENV1;c;213;214;2;
hogar;MESESV1;i;215;216;2;
hogar;DIASV1;i;217;218;2;
hogar;AGUACV1;c;219;220;2;
hogar;FUECV1;c;221;222;2;
hogar;CALEFV1;c;223;224;2;
hogar;FUENCAV1;c;225;226;2;
hogar;REGTENV2;c;227;228;2;
hogar;MESESV2;i;229;230;2;
hogar;DIASV2;i;231;232;2;
hogar;AGUACV2;c;233;234;2;
hogar;FUECV2;c;235;236;2;
hogar;CALEFV2;c;237;238;2;
hogar;FUENCAV2;c;239;240;2;
hogar;REGTENV3;c;241;242;2;
hogar;MESESV3;i;243;244;2;
hogar;DIASV3;i;245;246;2;
hogar;AGUACV3;c;247;248;2;
hogar;FUECV3;c;249;250;2;
hogar;CALEFV3;c;251;252;2;
hogar;FUENCAV3;c;253;254;2;
hogar;REGTENV4;c;255;256;2;
hogar;MESESV4;i;257;258;2;
hogar;DIASV4;i;259;260;2;
hogar;AGUACV4;c;261;262;2;
hogar;FUECV4;c;263;264;2;
hogar;CALEFV4;c;265;266;2;
hogar;FUENCAV4;c;267;268;2;
hogar;REGTENV5;c;269;270;2;
hogar;MESESV5;i;271;272;2;
hogar;DIASV5;i;273;274;2;
hogar;AGUACV5;c;275;276;2;
hogar;FUECV5;c;277;278;2;
hogar;CALEFV5;c;279;280;2;
hogar;FUENCAV5;c;281;282;2;
hogar;REGTENV6;c;283;284;2;
hogar;MESESV6;i;285;286;2;
hogar;DIASV6;i;287;288;2;
hogar;AGUACV6;c;289;290;2;
hogar;FUECV6;c;291;292;2;
hogar;CALEFV6;c;293;294;2;
hogar;FUENCAV6;c;295;296;2;
hogar;REGTENV7;c;297;298;2;
hogar;MESESV7;i;299;300;2;
hogar;DIASV7;i;301;302;2;
hogar;AGUACV7;c;303;304;2;
hogar;FUECV7;c;305;306;2;
hogar;CALEFV7;c;307;308;2;
hogar;FUENCAV7;c;309;310;2;
hogar;REGTENV8;c;311;312;2;
hogar;MESESV8;i;313;314;2;
hogar;DIASV8;i;315;316;2;
hogar;AGUACV8;c;317;318;2;
hogar;FUECV8;c;319;320;2;
hogar;CALEFV8;c;321;322;2;
hogar;FUENCAV8;c;323;324;2;
hogar;REGTENV9;c;325;326;2;
hogar;MESESV9;i;327;328;2;
hogar;DIASV9;i;329;330;2;
hogar;AGUACV9;c;331;332;2;
hogar;FUECV9;c;333;334;2;
hogar;CALEFV9;c;335;336;2;
hogar;FUENCAV9;c;337;338;2;
hogar;GASTOT;d;339;354;16;2
hogar;IMPUTGAS;d;355;359;5;2
hogar;GASTMON;d;360;375;16;2
hogar;GASTNOM1;d;376;388;13;2
hogar;GASTNOM2;d;389;401;13;2
hogar;GASTNOM3;d;402;414;13;2
hogar;GASTNOM4;d;415;427;13;2
hogar;CAPROP;c;428;429;2;
hogar;CAJE;c;430;431;2;
hogar;PENSIO;c;432;433;2;
hogar;DESEM;c;434;435;2;
hogar;OTRSUB;c;436;437;2;
hogar;RENTAS;c;438;439;2;
hogar;OTROIN;c;440;441;2;
hogar;FUENPRIN;c;442;443;2;
hogar;FUENPRINRED;c;444;445;2;
hogar;IMPEXAC;i;446;450;5;
hogar;INTERIN;c;451;452;2;
hogar;NUMPERI;i;453;454;2;
hogar;COMIMH;i;455;457;3;
hogar;COMISD;i;458;460;3;
hogar;COMIHU;i;461;463;3;
hogar;COMIINV;i;464;466;3;
hogar;COMITOT;i;467;469;3;
gastos;ANOENC;i;1;4;4;
gastos;NUMERO;i;5;9;5;
gastos;CODIGO;c;10;14;5;
gastos;GASTO;d;15;29;15;2
gastos;PORCENDES;d;30;34;5;2
gastos;PORCENIMP;d;35;39;5;2
gastos;CANTIDAD;d;40;51;12;2
gastos;GASTMON;d;52;66;15;2
gastos;GASTNOM1;d;67;79;13;2
gastos;GASTNOM2;d;80;92;13;2
gastos;GASTNOM3;d;93;105;13;2
gastos;GASTNOM4;d;106;118;13;2
gastos;GASTNOM5;d;119;131;13;2
gastos;FACTOR;d;132;142;11;6
miembros;ANOENC;i;1;4;4;
miembros;NUMERO;i;5;9;5;
miembros;NORDEN;c;10;11;2;
miembros;CATEGMH;c;12;13;2;
miembros;SUSPRIN;c;14;14;1;
miembros;RELASP;c;15;16;2;
miembros;EDAD;i;17;18;2;
miembros;SEXO;c;19;20;2;
miembros;PAISCIM;c;21;22;2;
miembros;CIO;c;23;24;2;
miembros;PAISCION;c;25;26;2;
miembros;SITURES;c;27;28;2;
miembros;ECIVIL;c;29;30;2;
miembros;NORDENCO;c;31;32;2;
miembros;UNION;c;33;34;2;
miembros;CONVIVENCIA;c;35;36;2;
miembros;NORDENPA;c;37;38;2;
miembros;PAISPADRE;c;39;40;2;
miembros;NORDENMA;c;41;42;2;
miembros;PAISMADRE;c;43;44;2;
miembros;ESTUDIOS;c;45;46;2;
miembros;ESTUDRED;c;47;48;2;
miembros;SITUACT;c;49;50;2;
miembros;SITURED;c;51;52;2;
miembros;OCU;c;53;54;2;
miembros;JORDA;c;55;56;2;
miembros;PERCEP;c;57;58;2;
miembros;IMPEXACP;i;59;63;5;
miembros;INTERINP;c;64;65;2;
miembros;NINODEP;c;66;67;2;
miembros;HIJODEP;c;68;69;2;
miembros;ADULTO;c;70;71;2;
miembros;FACTOR;d;72;82;11;6
